timestamp,event_type,order_id,side,price,quantity
0,ADD_ORDER,1,SELL,99.98,5
0,MARKET_ORDER,2,BUY,,3
0,ADD_ORDER,3,SELL,99.97,2
0,ADD_ORDER,4,BUY,99.99,1
0,CANCEL_ORDER,4,,,
0,ADD_ORDER,5,BUY,100.00,3
0,CANCEL_ORDER,5,,,
0,MARKET_ORDER,6,SELL,,1
1,ADD_ORDER,7,SELL,100.03,2
1,ADD_ORDER,8,BUY,100.02,4
1,ADD_ORDER,9,SELL,99.97,2
1,CANCEL_ORDER,3,,,
1,ADD_ORDER,10,SELL,99.97,2
1,CANCEL_ORDER,10,,,
1,ADD_ORDER,11,BUY,100.00,2
1,ADD_ORDER,12,SELL,100.00,1
2,ADD_ORDER,13,SELL,99.98,5
2,MARKET_ORDER,14,SELL,,2
2,ADD_ORDER,15,SELL,99.99,5
2,ADD_ORDER,16,BUY,99.99,3
2,ADD_ORDER,17,BUY,100.01,2
2,ADD_ORDER,18,SELL,99.99,5
3,ADD_ORDER,19,SELL,100.02,3
3,ADD_ORDER,20,SELL,100.01,4
3,ADD_ORDER,21,BUY,100.05,1
3,ADD_ORDER,22,BUY,100.07,5
3,ADD_ORDER,23,BUY,100.01,3
3,ADD_ORDER,24,SELL,100.06,1
4,ADD_ORDER,25,BUY,99.95,1
4,ADD_ORDER,26,SELL,99.96,2
4,CANCEL_ORDER,24,,,
4,ADD_ORDER,27,SELL,99.97,5
4,ADD_ORDER,28,SELL,99.95,1
4,MARKET_ORDER,29,BUY,,4
4,ADD_ORDER,30,BUY,99.98,4
5,MARKET_ORDER,31,SELL,,1
5,ADD_ORDER,32,SELL,99.99,3
5,MARKET_ORDER,33,BUY,,1
5,ADD_ORDER,34,SELL,99.97,3
5,ADD_ORDER,35,SELL,100.04,1
5,ADD_ORDER,36,SELL,99.99,3
6,MARKET_ORDER,37,BUY,,1
6,ADD_ORDER,38,BUY,100.00,3
6,ADD_ORDER,39,SELL,100.01,5
6,ADD_ORDER,40,SELL,100.00,4
6,ADD_ORDER,41,BUY,100.08,3
6,ADD_ORDER,42,SELL,99.99,5
7,ADD_ORDER,43,BUY,100.01,5
7,ADD_ORDER,44,BUY,100.04,1
7,ADD_ORDER,45,SELL,100.07,3
7,ADD_ORDER,46,BUY,100.02,2
7,ADD_ORDER,47,SELL,100.04,2
7,ADD_ORDER,48,BUY,100.01,1
8,ADD_ORDER,49,BUY,100.00,2
8,ADD_ORDER,50,BUY,99.98,2
8,ADD_ORDER,51,SELL,99.98,4
8,ADD_ORDER,52,BUY,99.97,3
8,ADD_ORDER,53,SELL,99.98,3
8,ADD_ORDER,54,BUY,100.01,2
9,ADD_ORDER,55,BUY,100.05,2
9,ADD_ORDER,56,BUY,100.01,5
9,ADD_ORDER,57,BUY,100.10,3
9,CANCEL_ORDER,42,,,
9,ADD_ORDER,58,SELL,100.08,4
9,ADD_ORDER,59,BUY,100.04,1
9,ADD_ORDER,60,SELL,100.09,2
10,MARKET_ORDER,61,BUY,,2
10,ADD_ORDER,62,SELL,100.07,4
10,ADD_ORDER,63,SELL,100.06,4
10,MARKET_ORDER,64,BUY,,4
10,CANCEL_ORDER,48,,,
10,ADD_ORDER,65,BUY,100.06,2
10,ADD_ORDER,66,BUY,100.05,4
11,ADD_ORDER,67,SELL,100.03,5
11,ADD_ORDER,68,SELL,100.09,1
11,ADD_ORDER,69,BUY,100.07,5
11,ADD_ORDER,70,BUY,100.03,1
11,ADD_ORDER,71,BUY,100.07,4
11,ADD_ORDER,72,SELL,100.03,4
12,ADD_ORDER,73,BUY,100.03,5
12,ADD_ORDER,74,SELL,100.05,2
12,ADD_ORDER,75,SELL,100.03,1
12,ADD_ORDER,76,BUY,100.06,2
12,CANCEL_ORDER,51,,,
12,ADD_ORDER,77,BUY,100.07,5
12,MARKET_ORDER,78,BUY,,4
13,ADD_ORDER,79,SELL,100.03,3
13,ADD_ORDER,80,BUY,100.05,2
13,ADD_ORDER,81,SELL,100.05,4
13,CANCEL_ORDER,46,,,
13,MARKET_ORDER,82,BUY,,2
13,MARKET_ORDER,83,BUY,,5
13,ADD_ORDER,84,SELL,100.04,4
14,ADD_ORDER,85,SELL,100.09,3
14,MARKET_ORDER,86,BUY,,4
14,ADD_ORDER,87,BUY,100.03,4
14,ADD_ORDER,88,BUY,100.04,4
14,ADD_ORDER,89,BUY,100.02,5
14,ADD_ORDER,90,SELL,100.03,5
15,ADD_ORDER,91,BUY,100.03,1
15,ADD_ORDER,92,SELL,99.99,1
15,CANCEL_ORDER,1,,,
15,ADD_ORDER,93,BUY,100.01,4
